Name,Age,GPA,Credits Completed,Year,Pathway
Van Miller,15,3.72,8,Junior,Computer Science
Ben Fogarty,19,1.14,24,Victory Lap,Early Childhood Education
Roman Jones,16,0.81,54,Freshman,Business
Benedict Foster,16,3.97,25,Freshman,Computer Science
Eliana Smith,18,3.29,25,Junior,Business
Marge Fogarty,17,3.17,9,Senior,Business
Kaden Wilson,14,0.97,47,Senior,Construction
Jane Willaims,14,0.4,58,Junior,Construction
Kyan Johnson,18,2.13,32,Victory Lap,Early College
Alexis Miller,18,1.94,42,Sophomore,Construction
Elijah Fogarty,17,2.64,18,Victory Lap,Bio Med
Van Wilson,14,1.03,41,Sophomore,Construction
Joe Brown,15,3.46,20,Sophomore,Marketing
Kaden Brown,15,0.97,53,Sophomore,Marketing
Noah Miller,16,1.16,33,Sophomore,Early Childhood Education
Andrew Johnson,17,3.38,28,Victory Lap,Computer Science
Kyan Willaims,18,3.89,42,Junior,Bio Med
Alexis Garcia,14,4.06,37,Senior,Engineering
Noah Foster,16,3.3,34,Sophomore,Culinary
Keaton DeFreitas,17,4.04,14,Junior,Business
Ben Manukyan,18,1.7,13,Junior,Marketing
Aiden Willaims,16,3.77,36,Junior,Criminal Justice
Benedict Willaims,16,2.75,8,Victory Lap,Early Childhood Education
Marge Brown,14,2.19,33,Sophomore,Criminal Justice
Danielle Fogarty,18,0.47,29,Senior,Early Childhood Education
Rachel Foster,17,2.73,7,Junior,Bio Med
Mac Davis,18,3.08,43,Victory Lap,Marketing
Keaton Brown,14,1.96,9,Senior,Engineering
Ben Brown,14,3.25,6,Freshman,Marketing
Kyan DeFreitas,14,0.92,22,Senior,Bio Med
Joe Foster,17,0.85,12,Sophomore,Computer Science
Keaton Johnson,18,2.28,6,Junior,Criminal Justice
Alexis Wilson,15,1.29,30,Senior,Marketing
Marge Fogarty,19,3.7,55,Victory Lap,Criminal Justice
Aiden Miller,17,3.88,29,Victory Lap,Marketing
Jill DeFreitas,14,3.51,43,Junior,Business
Noah Brown,16,0.92,41,Sophomore,Criminal Justice
Kaden Willaims,19,3.52,7,Sophomore,Culinary
Mac Johnson,19,2.1,24,Sophomore,Criminal Justice
Lucian Davis,14,2.63,3,Freshman,Bio Med
Katerina Miller,17,2.59,57,Senior,Computer Science
Kaden Garcia,16,3.39,48,Freshman,Criminal Justice
Kyan Willaims,19,3.92,53,Junior,Bio Med
Jane Davis,19,1.12,13,Freshman,Culinary
Joe Jones,17,1.0,56,Sophomore,Early College
Alexis Foster,14,0.43,43,Victory Lap,Early College
Keaton Foster,19,1.06,9,Freshman,Bio Med
Roman DeFreitas,14,2.46,57,Junior,Engineering
Emma Davis,17,1.99,59,Victory Lap,Criminal Justice
Marge Smith,14,1.24,55,Senior,Early Childhood Education
Elijah Davis,16,2.14,58,Freshman,Early Childhood Education
Emmy DeFreitas,14,1.41,59,Senior,Early College
Emma Manukyan,17,1.29,3,Junior,Culinary
Emma Wilson,15,4.02,20,Freshman,Early Childhood Education
Emmy Brown,16,2.26,41,Junior,Early College
Emma Miller,15,2.22,53,Victory Lap,Early Childhood Education
Noah Jones,19,1.46,3,Freshman,Culinary
Emma Miller,17,3.6,11,Senior,Culinary
Kaden Manukyan,14,1.64,53,Freshman,Computer Science
Jane Wilson,15,0.6,42,Freshman,Bio Med
Jill Garcia,15,0.77,24,Sophomore,Marketing
Mac Fogarty,15,2.87,14,Senior,Bio Med
Katerina Anderson,14,2.51,44,Freshman,Marketing
Kyan Manukyan,18,2.19,41,Senior,Early Childhood Education
Lisa Jones,19,1.97,26,Junior,Business
Joe Garcia,18,3.85,11,Junior,Computer Science
Marge Manukyan,17,3.47,40,Junior,Bio Med
Jill Anderson,17,0.87,19,Victory Lap,Computer Science
Andrew Manukyan,19,3.0,23,Senior,Criminal Justice
Emma Smith,16,1.22,26,Junior,Bio Med
Katerina Brown,18,1.28,27,Junior,Construction
Andrew Foster,17,0.96,28,Senior,Early College
Katerina Brown,18,3.18,56,Sophomore,Early Childhood Education
Roman Davis,14,2.85,57,Freshman,Business
Lisa Anderson,14,4.06,29,Sophomore,Engineering
Ben DeFreitas,19,3.69,40,Sophomore,Construction
Mac Brown,15,2.01,57,Junior,Marketing
Marge Moore,15,1.01,9,Senior,Bio Med
Elijah Manukyan,19,1.78,13,Freshman,Early Childhood Education
Keaton Foster,16,1.78,8,Freshman,Criminal Justice
Katerina Davis,14,2.43,1,Senior,Early Childhood Education
Andrew Moore,14,1.16,2,Senior,Computer Science
Lisa Smith,16,0.33,18,Victory Lap,Culinary
Rachel Garcia,16,3.61,21,Senior,Criminal Justice
Marge Foster,17,2.28,9,Sophomore,Business
Benedict Anderson,14,1.08,27,Victory Lap,Engineering
Katerina Garcia,17,3.2,29,Sophomore,Marketing
Mac DeFreitas,19,3.05,52,Senior,Business
Katerina Davis,15,1.04,12,Sophomore,Early Childhood Education
Marge Garcia,16,4.08,45,Sophomore,Computer Science
Jill Willaims,18,3.11,3,Victory Lap,Bio Med
Kaden Brown,18,3.26,10,Sophomore,Computer Science
Andrew Willaims,15,0.85,22,Senior,Early Childhood Education
Kaden Willaims,16,2.9,47,Junior,Engineering
Mac Brown,18,1.5,42,Senior,Engineering
Jill Moore,15,3.86,22,Sophomore,Business
Roman Willaims,19,2.81,25,Freshman,Bio Med
Mac Anderson,15,3.41,5,Freshman,Business
Mac Miller,17,3.76,56,Freshman,Criminal Justice
Rachel Fogarty,14,1.88,29,Sophomore,Criminal Justice
Aiden Moore,15,1.28,32,Freshman,Computer Science
Danielle Moore,14,1.4,24,Freshman,Culinary
Emmy Miller,14,1.61,37,Senior,Culinary
Aiden DeFreitas,18,1.37,17,Senior,Construction
Marge Manukyan,14,2.24,17,Junior,Marketing
Katerina Brown,17,3.35,35,Freshman,Business
Jill DeFreitas,16,2.25,27,Freshman,Bio Med
Van Brown,15,1.76,34,Freshman,Marketing
Elijah Miller,16,3.66,10,Junior,Engineering
Emma Willaims,14,0.77,34,Freshman,Computer Science
Kaden Jones,18,1.77,13,Senior,Marketing
Emmy Miller,18,1.23,30,Senior,Criminal Justice
Elijah Davis,19,2.6,51,Junior,Criminal Justice
Lisa Willaims,17,0.33,34,Victory Lap,Computer Science
Katerina Davis,15,2.28,56,Junior,Bio Med
Andrew Fogarty,19,3.29,54,Senior,Construction
Lisa Moore,16,1.57,42,Sophomore,Criminal Justice
Jill Willaims,17,2.24,25,Victory Lap,Marketing
Marge Johnson,15,0.44,25,Freshman,Construction
